@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 24, 2022 @ 23:16:10.335",packetbeat,261.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,249",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:16:10.335",packetbeat,324.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,411",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:16:10.327",packetbeat,366.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,756",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:16:10.327",packetbeat,295.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,174",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:16:10.326",packetbeat,260.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,581",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:16:10.326",packetbeat,282.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,618",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:16:10.325",packetbeat,378.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,780",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:16:10.325",packetbeat,302KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,184",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:16:00.335",packetbeat,261.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,245",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:16:00.335",packetbeat,323.8KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,403",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:16:00.326",packetbeat,282.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,614",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:16:00.326",packetbeat,260.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,573",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:16:00.326",packetbeat,295.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,165",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:16:00.326",packetbeat,378.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,776",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:16:00.326",packetbeat,301.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,175",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:16:00.326",packetbeat,365.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,752",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:50.335",packetbeat,260.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,241",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:15:50.335",packetbeat,323.2KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,394",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:15:50.327",packetbeat,365.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,748",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:50.327",packetbeat,294.6KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,156",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:15:50.327",packetbeat,281.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,610",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:15:50.327",packetbeat,259.5KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,565",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:15:50.326",packetbeat,377.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,772",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:15:50.326",packetbeat,300.8KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,166",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:15:40.335",packetbeat,260.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,237",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:15:40.335",packetbeat,322.6KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,385",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:15:40.327",packetbeat,281.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,606",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:15:40.327",packetbeat,258.9KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,557",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:15:40.327",packetbeat,364.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,744",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:40.327",packetbeat,293.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,148",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:15:40.326",packetbeat,377.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,768",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:15:40.326",packetbeat,300.1KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,157",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:15:30.335",packetbeat,259.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,233",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:15:30.335",packetbeat,321.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,377",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:15:30.326",packetbeat,364.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,740",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:30.326",packetbeat,293.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,138",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:15:30.326",packetbeat,376.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,764",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:15:30.326",packetbeat,299.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,148",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:15:30.326",packetbeat,280.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,602",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:15:30.326",packetbeat,258.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,549",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:15:20.335",packetbeat,259.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,229",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:15:20.335",packetbeat,321.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,368",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:15:20.327",packetbeat,376.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,760",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:15:20.327",packetbeat,298.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,139",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:15:20.327",packetbeat,363.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,736",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:20.327",packetbeat,292.5KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,130",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:15:20.326",packetbeat,280.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,598",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:15:20.326",packetbeat,257.4KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,537",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:15:10.334",packetbeat,258.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,225",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:15:10.334",packetbeat,320.6KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,360",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:15:10.327",packetbeat,363.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,732",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:10.327",packetbeat,291.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,122",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:15:10.327",packetbeat,279.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,594",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:15:10.327",packetbeat,256.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,529",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:15:10.326",packetbeat,375.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,756",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:15:10.326",packetbeat,298.2KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,130",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:15:00.335",packetbeat,258.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,221",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:15:00.335",packetbeat,320KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,352",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:15:00.327",packetbeat,279.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,590",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:15:00.327",packetbeat,256.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,521",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:15:00.326",packetbeat,291.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,114",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:15:00.326",packetbeat,362.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,728",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:15:00.325",packetbeat,375.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,752",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:15:00.325",packetbeat,297.6KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,122",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:14:50.335",packetbeat,258KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,217",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:14:50.335",packetbeat,319.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,344",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:14:50.326",packetbeat,278.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,586",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:14:50.326",packetbeat,255.5KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,513",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:14:50.326",packetbeat,297KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,114",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:14:50.326",packetbeat,362.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,724",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:14:50.326",packetbeat,290.6KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,106",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:14:50.326",packetbeat,374.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,748",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:14:40.334",packetbeat,257.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,213",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:14:40.334",packetbeat,318.7KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,336",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:14:40.327",packetbeat,289.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,098",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:14:40.327",packetbeat,361.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,720",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:14:40.326",packetbeat,278.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,582",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:14:40.326",packetbeat,254.9KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,505",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:14:40.325",packetbeat,374.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,744",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:14:40.325",packetbeat,296.3KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,106",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:14:30.335",packetbeat,257KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,209",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:14:30.335",packetbeat,318.1KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,328",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:14:30.328",packetbeat,277.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,578",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:14:30.328",packetbeat,254.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,497",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:14:30.327",packetbeat,361.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,716",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:14:30.327",packetbeat,289.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,090",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:14:30.325",packetbeat,374KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,740",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:14:30.325",packetbeat,295.7KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,097",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:14:20.335",packetbeat,256.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,205",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:14:20.335",packetbeat,317.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,320",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:14:20.326",packetbeat,277.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,574",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:14:20.326",packetbeat,253.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,489",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:14:20.326",packetbeat,288.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,081",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:14:20.326",packetbeat,373.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,736",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:14:20.326",packetbeat,295.1KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,089",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:14:20.326",packetbeat,360.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,712",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:14:10.335",packetbeat,256KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,201",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:14:10.335",packetbeat,316.8KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,312",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:14:10.326",packetbeat,373KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,732",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:14:10.326",packetbeat,294.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,080",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:14:10.326",packetbeat,288KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,073",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:14:10.326",packetbeat,276.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,570",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:14:10.326",packetbeat,253KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,481",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:14:10.326",packetbeat,360.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,708",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:14:00.335",packetbeat,255.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,197",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:14:00.335",packetbeat,316.2KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,304",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:14:00.326",packetbeat,276.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,566",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:14:00.326",packetbeat,252.3KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,473",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:14:00.326",packetbeat,359.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,704",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:14:00.326",packetbeat,287.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,065",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:14:00.325",packetbeat,372.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,728",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:14:00.325",packetbeat,293.8KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,072",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:13:50.335",packetbeat,255KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,193",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:13:50.335",packetbeat,315.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,296",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:13:50.327",packetbeat,359.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,700",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:13:50.327",packetbeat,286.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,057",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:13:50.326",packetbeat,372KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,724",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:13:50.326",packetbeat,293.2KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,064",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:13:50.326",packetbeat,275.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,562",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:13:50.326",packetbeat,251.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,465",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:13:40.334",packetbeat,254.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,189",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:13:40.334",packetbeat,314.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,288",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:13:40.326",packetbeat,358.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,696",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:13:40.326",packetbeat,286.1KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,049",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:13:40.326",packetbeat,371.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,720",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:13:40.326",packetbeat,292.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,055",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:13:40.326",packetbeat,275.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,558",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:13:40.326",packetbeat,251.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,457",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:13:30.335",packetbeat,254KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,185",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:13:30.335",packetbeat,314.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,280",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:13:30.326",packetbeat,371KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,716",tcp,ipv4,172.16.0.2,49672
"Oct 24, 2022 @ 23:13:30.326",packetbeat,291.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,046",tcp,ipv4,172.16.0.2,51666
"Oct 24, 2022 @ 23:13:30.326",packetbeat,358.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,692",tcp,ipv4,172.16.0.9,54462
"Oct 24, 2022 @ 23:13:30.326",packetbeat,285.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"4,041",tcp,ipv4,172.16.0.9,56260
"Oct 24, 2022 @ 23:13:30.326",packetbeat,274.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,554",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:13:30.326",packetbeat,250.4KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,449",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:13:20.335",packetbeat,253.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,181",tcp,ipv4,172.16.0.3,33818
"Oct 24, 2022 @ 23:13:20.335",packetbeat,313.6KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"4,272",tcp,ipv4,172.16.0.3,37836
"Oct 24, 2022 @ 23:13:20.326",packetbeat,274.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,550",tcp,ipv4,172.16.0.4,60536
"Oct 24, 2022 @ 23:13:20.326",packetbeat,249.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"3,441",tcp,ipv4,172.16.0.4,53752
"Oct 24, 2022 @ 23:13:20.325",packetbeat,370.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"4,712",tcp,ipv4,172.16.0.2,49672
